,volt,current,soc,max_single_volt,min_single_volt,max_temp,min_temp,timestamp,car,label,charge_segment,mileage
0,38.91656999999999,-8.07,35.0,3.6435000000000004,3.6286,28.0,24.0,1.0,471,00,1,19974.649800000003
1,38.95108,-14.96,35.0,3.6481,3.634,28.0,24.0,11.0,471,00,1,19974.649800000003
2,38.9725,-14.64,35.0,3.6491,3.6341,27.9,24.0,21.0,471,00,1,19974.649800000003
3,38.9725,-14.99,35.0,3.6501,3.6351,27.0,24.0,31.0,471,00,1,19974.649800000003
4,38.97606999999999,-14.9,35.0,3.6510000000000002,3.6361,27.0,24.0,41.0,471,00,1,19974.649800000003
5,39.0082,-14.91,35.1,3.6511,3.637,27.0,24.0,51.0,471,00,1,19974.649800000003
6,39.0082,-15.0,36.0,3.6519999999999997,3.6371,27.0,24.0,61.0,471,00,1,19974.649800000003
7,39.0082,-15.0,36.0,3.6521,3.638,27.0,24.0,71.0,471,00,1,19974.649800000003
8,39.0082,-15.0,36.0,3.653,3.6380999999999997,27.0,24.0,81.0,471,00,1,19974.649800000003
9,39.0082,-15.0,36.0,3.6531000000000002,3.639,27.0,24.0,91.0,471,00,1,19974.649800000003
10,39.0082,-15.0,36.0,3.654,3.639,27.0,24.0,101.0,471,00,1,19974.649800000003
11,39.05818,-23.69,36.0,3.6583,3.643,27.0,24.0,111.0,471,00,1,19974.649800000003
12,39.51395,-101.91000000000001,36.0,3.6977,3.6799,27.1,24.0,121.0,471,00,1,19974.649800000003
13,39.57345,-102.0,36.0,3.7043,3.6884,28.0,24.0,131.0,471,00,1,19974.649800000003
14,39.63056999999999,-102.0,36.1,3.7075,3.6925,28.0,24.0,141.0,471,00,1,19974.649800000003
15,39.665079999999996,-102.0,37.0,3.7121,3.6972,28.0,24.0,151.0,471,00,1,19974.649800000003
16,39.686499999999995,-102.0,37.0,3.7133000000000003,3.6993,28.0,24.0,161.0,471,00,1,19974.649800000003
17,39.69245,-102.01,37.0,3.7162,3.7021,28.0,24.0,171.0,471,00,1,19974.649800000003
18,39.745999999999995,-102.08999999999999,37.1,3.7180999999999997,3.7032000000000003,28.0,24.0,181.0,471,00,1,19974.649800000003
19,39.745999999999995,-102.01,38.0,3.7192,3.7052,28.0,24.0,191.0,471,00,1,19974.649800000003
20,39.74957,-102.08999999999999,38.0,3.7211,3.7072,28.0,24.0,201.0,471,00,1,19974.649800000003
21,39.784079999999996,-102.01,38.0,3.7222,3.7089999999999996,28.0,24.0,211.0,471,00,1,19974.649800000003
22,39.805499999999995,-102.08999999999999,38.0,3.7239999999999998,3.7091999999999996,28.0,24.0,221.0,471,00,1,19974.649800000003
23,39.805499999999995,-102.0,38.1,3.7241999999999997,3.7112000000000003,28.0,24.0,231.0,471,00,1,19974.649800000003
24,39.80907,-102.01,39.0,3.7261,3.713,28.0,24.0,241.0,471,00,1,19974.649800000003
25,39.8412,-102.08999999999999,39.0,3.7271,3.7132,28.0,24.1,251.0,471,00,1,19974.649800000003
26,39.8412,-102.0,39.0,3.7281,3.715,28.0,25.0,261.0,471,00,1,19974.649800000003
27,39.843579999999996,-102.0,39.1,3.7291,3.7152,28.0,25.0,271.0,471,00,1,19974.649800000003
28,39.86857,-102.0,40.0,3.7301,3.717,28.0,25.0,281.0,471,00,1,19974.649800000003
29,39.9007,-102.0,40.0,3.7312000000000003,3.7172,28.0,25.0,291.0,471,00,1,19974.649800000003
30,39.9007,-102.01,40.0,3.7331000000000003,3.7191,28.0,25.0,301.0,471,00,1,19974.649800000003
31,39.903079999999996,-102.08999999999999,40.1,3.7340999999999998,3.7201000000000004,28.0,25.0,311.0,471,00,1,19974.649800000003
32,39.924499999999995,-102.01,41.0,3.7352,3.7212,28.0,25.0,321.0,471,00,1,19974.649800000003
33,39.924499999999995,-102.08999999999999,41.0,3.7372,3.7230000000000003,28.0,25.0,331.0,471,00,1,19974.649800000003
34,39.92807,-102.01,41.0,3.739,3.7231,28.0,25.0,341.0,471,00,1,19974.649800000003
35,39.962579999999996,-102.08999999999999,41.1,3.7391,3.7241,28.0,25.0,351.0,471,00,1,19974.649800000003
36,39.983999999999995,-102.01,42.0,3.7401,3.7252,28.0,25.0,361.0,471,00,1,19974.649800000003
37,39.983999999999995,-102.08999999999999,42.0,3.7411000000000003,3.727,28.0,25.0,371.0,471,00,1,19974.649800000003
38,39.98757,-102.01,42.0,3.7422,3.7272,28.0,25.0,381.0,471,00,1,19974.649800000003
39,40.0197,-102.1,42.1,3.7439999999999998,3.7289999999999996,28.0,25.0,391.0,471,00,1,19974.649800000003
40,40.0197,-102.08999999999999,43.0,3.7441999999999998,3.7291,28.0,25.0,401.0,471,00,1,19974.649800000003
41,40.0197,-102.01,43.0,3.7462000000000004,3.7302,28.0,25.0,411.0,471,00,1,19974.649800000003
42,40.022079999999995,-102.08999999999999,43.0,3.7481,3.7321,28.0,25.0,421.0,471,00,1,19974.649800000003
43,40.04707,-102.01,43.1,3.7491,3.7331000000000003,28.0,25.0,431.0,471,00,1,19974.649800000003
44,40.0792,-102.1,44.0,3.7501,3.7340999999999998,28.0,25.0,441.0,471,00,1,19974.649800000003
45,40.0792,-102.1,44.0,3.7512000000000003,3.7351,28.0,25.0,451.0,471,00,1,19974.649800000003
